experiment_time,duration_seconds,model_id,video,comparison_summary,comparison_score,vram_gb,seed,comments
2026-05-23T18:16:20.316203,27.318236,Qwen/Qwen3.5-2B,DVC43313,2 / 2 matched ; 6 extra predictions,0.15,79.11,42,new-prompt sglang a100_80g no-reasoning tuned
2026-05-23T18:16:47.735487,22.851627,Qwen/Qwen3.5-2B,DVC43313,1 / 2 matched,0.27,79.11,54,new-prompt sglang a100_80g no-reasoning tuned
2026-05-23T18:17:10.655975,26.761897,Qwen/Qwen3.5-2B,90D2335_A,6 / 7 matched,0.75,78.85,42,new-prompt sglang a100_80g no-reasoning tuned
2026-05-23T18:17:37.576286,26.982829,Qwen/Qwen3.5-2B,90D2335_A,7 / 7 matched ; 2 extra predictions,0.49,78.85,54,new-prompt sglang a100_80g no-reasoning tuned
2026-05-23T18:28:19.185915,29.956716,Qwen/Qwen3.5-2B,aobbu34200001,6 / 22 matched,0.23,74.32,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:28:49.239903,37.576122,Qwen/Qwen3.5-2B,aobbu34200001,17 / 22 matched,0.58,74.32,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:29:26.925793,20.72827,Qwen/Qwen3.5-2B,DVC43998,6 / 6 matched,0.99,75.06,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:29:47.717369,17.831546,Qwen/Qwen3.5-2B,DVC43998,5 / 6 matched,0.61,75.06,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:30:05.614667,29.962825,Qwen/Qwen3.5-2B,DVC43313,2 / 2 matched ; 9 extra predictions,0.11,75.06,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:30:35.638538,23.298671,Qwen/Qwen3.5-2B,DVC43313,1 / 2 matched,0.27,75.06,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:30:58.997171,28.124865,Qwen/Qwen3.5-2B,90D2335_A,7 / 7 matched ; 1 extra predictions,0.77,75.76,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:31:27.243776,89.359822,Qwen/Qwen3.5-2B,90D2335_A,7 / 7 matched ; 96 extra predictions,0.03,75.76,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:40:53.688045,29.084106,Qwen/Qwen3.5-4B,aobbu34200001,1 / 22 matched,0.01,72.18,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:41:22.824716,53.243206,Qwen/Qwen3.5-4B,aobbu34200001,20 / 22 matched,0.87,74.2,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:42:16.127023,24.599483,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,0.99,74.94,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:42:40.782723,23.443081,Qwen/Qwen3.5-4B,DVC43998,0 / 6 matched,0.0,74.94,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:43:04.283926,55.667515,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched ; 25 extra predictions,0.04,74.94,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:44:00.030331,25.336095,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched,0.77,74.94,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:44:25.433286,31.879171,Qwen/Qwen3.5-4B,90D2335_A,7 / 7 matched,0.88,75.64,42,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T18:44:57.414278,30.545107,Qwen/Qwen3.5-4B,90D2335_A,7 / 7 matched,0.89,75.64,54,fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:39:06.437208,38.037192,Qwen/Qwen3.5-4B,aobbu34200001,2 / 22 matched,0.06,75.64,42,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:39:44.543327,48.553643,Qwen/Qwen3.5-4B,aobbu34200001,21 / 22 matched,0.85,75.64,54,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:40:33.158840,23.29583,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,0.99,75.64,42,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:40:56.525893,23.741758,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,0.99,75.64,54,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:41:20.324829,34.855443,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched ; 7 extra predictions,0.08,75.64,42,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:41:55.270488,190.469725,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched ; 136 extra predictions,0.0,75.64,54,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:45:05.801301,40.130117,Qwen/Qwen3.5-4B,90D2335_A,6 / 7 matched,0.77,75.64,42,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:45:46.018804,32.175588,Qwen/Qwen3.5-4B,90D2335_A,7 / 7 matched,0.86,75.64,54,t=0.9 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:51:02.406813,36.387384,Qwen/Qwen3.5-4B,aobbu34200001,3 / 22 matched,0.11,75.64,42,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:51:38.856682,49.647921,Qwen/Qwen3.5-4B,aobbu34200001,22 / 22 matched,0.95,75.64,54,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:52:28.603915,22.591765,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,0.99,75.64,42,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:52:51.261802,23.73584,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,0.99,75.64,54,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:53:15.063482,37.895194,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched ; 11 extra predictions,0.05,75.64,42,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:53:53.029375,61.927363,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched ; 31 extra predictions,0.02,75.64,54,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:54:55.006536,29.697933,Qwen/Qwen3.5-4B,90D2335_A,6 / 7 matched,0.77,75.64,42,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T19:55:24.770105,32.311063,Qwen/Qwen3.5-4B,90D2335_A,7 / 7 matched,0.81,75.64,54,t=1.0 fa3 new-prompt sglang a100_80g no-reasoning
2026-05-23T22:58:34.810522,32.722861,OpenGVLab/InternVL3-8B,aobbu34200001,6 / 22 matched,0.14,69.59,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T22:59:07.607496,35.558543,OpenGVLab/InternVL3-8B,aobbu34200001,4 / 22 matched,0.08,69.59,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T22:59:43.247098,6.176861,OpenGVLab/InternVL3-8B,DVC43998,2 / 6 matched,0.14,69.59,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T22:59:49.492156,6.180022,OpenGVLab/InternVL3-8B,DVC43998,2 / 6 matched,0.22,69.59,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T22:59:55.747421,32.239811,OpenGVLab/InternVL3-8B,DVC43313,2 / 2 matched ; 18 extra predictions,0.03,69.59,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:00:28.059202,26.412031,OpenGVLab/InternVL3-8B,DVC43313,2 / 2 matched ; 14 extra predictions,0.08,69.59,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:00:54.537321,21.830824,OpenGVLab/InternVL3-8B,90D2335_A,3 / 7 matched,0.1,69.59,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:01:16.468246,12.088558,OpenGVLab/InternVL3-8B,90D2335_A,4 / 7 matched,0.36,69.59,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:14:42.695496,19.148802,OpenGVLab/InternVL3-14B,aobbu34200001,4 / 22 matched,0.09,70.53,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:15:01.910125,16.661936,OpenGVLab/InternVL3-14B,aobbu34200001,4 / 22 matched,0.08,70.56,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:15:18.641185,11.165432,OpenGVLab/InternVL3-14B,DVC43998,2 / 6 matched,0.23,70.6,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:15:29.885278,9.226049,OpenGVLab/InternVL3-14B,DVC43998,2 / 6 matched,0.22,70.64,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:15:39.181524,23.45262,OpenGVLab/InternVL3-14B,DVC43313,2 / 2 matched ; 6 extra predictions,0.15,70.64,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:16:02.717649,35.579455,OpenGVLab/InternVL3-14B,DVC43313,2 / 2 matched ; 11 extra predictions,0.06,70.64,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:16:38.374619,20.935529,OpenGVLab/InternVL3-14B,90D2335_A,4 / 7 matched,0.27,70.64,42,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-23T23:16:59.369178,18.985866,OpenGVLab/InternVL3-14B,90D2335_A,4 / 7 matched,0.32,70.64,54,t=0.8 top_p=0.8 fa3 sglang a100_80g no-reasoning
2026-05-24T14:08:41.803303,119.124605,Qwen/Qwen3.5-27B,aobbu34200001,19 / 22 matched,0.73,78.04,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:10:40.977545,31.53184,Qwen/Qwen3.5-27B,aobbu34200001,1 / 22 matched,0.04,78.04,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:11:12.553757,40.3545,Qwen/Qwen3.5-27B,DVC43998,5 / 6 matched,0.19,78.04,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:11:52.953644,45.566147,Qwen/Qwen3.5-27B,DVC43998,6 / 6 matched,0.99,78.04,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:12:38.560143,42.512615,Qwen/Qwen3.5-27B,DVC43313,1 / 2 matched ; 1 extra predictions,0.11,78.04,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:13:21.115774,30.828605,Qwen/Qwen3.5-27B,DVC43313,1 / 2 matched,0.5,78.04,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:13:51.983766,66.260406,Qwen/Qwen3.5-27B,90D2335_A,7 / 7 matched,0.99,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:14:58.284438,52.541181,Qwen/Qwen3.5-27B,90D2335_A,7 / 7 matched,0.74,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-24T14:16:54.713485,922.638937,Qwen/Qwen3.5-27B,aobbu34200001,22 / 22 matched,0.85,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T14:32:17.391782,896.356661,Qwen/Qwen3.5-27B,aobbu34200001,22 / 22 matched,0.83,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T14:47:13.791079,1136.672104,Qwen/Qwen3.5-27B,DVC43998,invalid input format,0.0,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T15:06:10.539461,512.256825,Qwen/Qwen3.5-27B,DVC43998,6 / 6 matched,0.98,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T15:14:42.837411,407.865101,Qwen/Qwen3.5-27B,DVC43313,invalid input format,0.0,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T23:16:24.363804,729.08854,Qwen/Qwen3.6-27B,aobbu34200001,22 / 22 matched,0.96,64.28,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T23:28:33.560587,796.703885,Qwen/Qwen3.6-27B,aobbu34200001,22 / 22 matched,0.85,66.3,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T23:41:50.330204,267.340652,Qwen/Qwen3.6-27B,DVC43998,6 / 6 matched,0.98,66.65,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-24T23:46:17.732522,441.959263,Qwen/Qwen3.6-27B,DVC43998,6 / 6 matched,1.0,66.65,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-25T00:43:39.360883,1417.656298,Qwen/Qwen3.6-27B,DVC43313,2 / 2 matched,0.98,64.07,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-25T01:07:17.137451,1519.758713,Qwen/Qwen3.6-27B,DVC43313,2 / 2 matched,0.98,69.77,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-25T01:32:36.978164,1391.020183,Qwen/Qwen3.6-27B,90D2335_A,7 / 7 matched,0.86,70.14,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-25T01:55:48.100589,1337.187001,Qwen/Qwen3.6-27B,90D2335_A,7 / 7 matched,0.99,70.14,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb
2026-05-25T02:27:00.589795,79.892612,Qwen/Qwen3.5-4B,aobbu34200001,13 / 22 matched,0.47,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:28:20.556764,76.659922,Qwen/Qwen3.5-4B,aobbu34200001,invalid input format,0.0,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:29:37.278292,45.278297,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,0.99,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:30:22.616510,50.995186,Qwen/Qwen3.5-4B,DVC43998,6 / 6 matched,1.0,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:31:13.683773,60.528415,Qwen/Qwen3.5-4B,DVC43313,2 / 2 matched ; 6 extra predictions,0.15,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:32:14.274794,36.820405,Qwen/Qwen3.5-4B,DVC43313,1 / 2 matched,0.5,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:32:51.184341,67.162383,Qwen/Qwen3.5-4B,90D2335_A,7 / 7 matched,0.74,78.41,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:33:58.410421,57.800126,Qwen/Qwen3.5-4B,90D2335_A,7 / 7 matched,0.74,78.41,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:43:18.397245,46.345004,Qwen/Qwen3.5-9B,aobbu34200001,6 / 22 matched,0.15,72.61,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:44:04.817044,38.750399,Qwen/Qwen3.5-9B,aobbu34200001,3 / 22 matched,0.11,74.63,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:44:43.635438,30.16751,Qwen/Qwen3.5-9B,DVC43998,5 / 6 matched,0.78,74.99,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:45:13.863514,20.724405,Qwen/Qwen3.5-9B,DVC43998,1 / 6 matched,0.16,74.99,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:45:34.654885,47.953429,Qwen/Qwen3.5-9B,DVC43313,1 / 2 matched,0.5,74.99,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:46:22.677738,35.805537,Qwen/Qwen3.5-9B,DVC43313,0 / 2 matched ; 2 extra predictions,0.0,74.99,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:46:58.544098,44.952328,Qwen/Qwen3.5-9B,90D2335_A,7 / 7 matched ; 1 extra predictions,0.72,75.36,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T02:47:43.553350,33.254076,Qwen/Qwen3.5-9B,90D2335_A,2 / 7 matched,0.21,75.36,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb chain-of-thought
2026-05-25T10:41:35.491188,144.398719,Qwen/Qwen3.6-27B,aobbu34200001,1 / 22 matched,0.0,72.3,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-25T10:44:00.092797,114.893393,Qwen/Qwen3.6-27B,aobbu34200001,1 / 22 matched,0.02,74.32,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-25T10:45:55.028543,47.65787,Qwen/Qwen3.6-27B,DVC43998,0 / 6 matched,0.0,74.67,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-25T10:46:42.744035,42.44856,Qwen/Qwen3.6-27B,DVC43998,6 / 6 matched,0.99,74.67,54,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
2026-05-25T10:47:25.232705,41.197204,Qwen/Qwen3.6-27B,DVC43313,1 / 2 matched,0.28,74.67,42,t=1.0 top_p=0.95 fa3 sglang a100_80gb no-reasoning
